,comment
25,徽墨品种繁多，主要有漆烟、油烟、松烟、全烟、净烟、减胶、加香等。高级漆烟墨，是用桐油烟、麝香、冰片、金箔、珍珠粉等10余种材料制成。徽墨集绘画、书法、雕刻、造型等艺术于一体，使墨本身成为一种综合性的艺术珍品。徽墨有落纸如漆，色泽黑润，经久不褪，纸笔不胶，香味浓郁，奉肌腻理等特点，素有拈来轻、磨来清、嗅来馨、坚如玉、研无声、一点如漆、万载存真的美誉。[3][2]
26,太平天国太平军 4占宁国府（宣城市），宣笔工匠逃亡湖州才有了湖笔兴起。知否知否中小爵爷送给明兰的紫毫笔也是产自宣城。唐朝天宝元年宣州是十大望州之一，宣纸产自宣州，后清末曹氏移民逃亡宣州泾县，利用当地特有原物料进一步改良了宣纸。现今宣城市是全国唯一文房四宝之乡，
27,端砚
28,端砚，广东省肇庆市特产，中国国家地理标志产品。[1][2]端砚是中国四大名砚之一，与甘肃洮砚、安徽歙砚、山西澄泥砚齐名。出产于唐代初期端州（今广东肇庆市东郊的端溪），故名端砚，距今已有一千三百多年的历史。中国传统文化中的文房四宝，砚为其一。在中国所产的四大名砚中，尤以广东省端砚最为称著。端砚以石质坚实、润滑、细腻、娇嫩而驰名于世，用端砚研墨不滞，发墨快，研出之墨汁细滑，书写流畅不损毫，字迹颜色经久不变，端砚若佳，无论是酷暑还是严冬，用手按其砚心，砚心湛蓝墨绿，水气久久不干，故古人有“呵气研墨”之说。
29,取自百度百科
30,文房四宝
31,中国古代传统文化中的文书工具，即笔、墨、纸、砚。文房四宝之名，起源于南北朝时期。历史上，“文房四宝”所指之物屡有变化。在南唐时，“文房四宝”特指安徽宣城诸葛笔、安徽徽州李廷圭墨、安徽徽州澄心堂纸，安徽徽州婺源龙尾砚。自宋朝以来“文房四宝”则特指宣笔（安徽宣城)、徽墨（安徽徽州歙县)、宣纸（安徽宣城泾县)、歙砚（安徽徽州歙县）、洮砚（甘肃卓尼县）、端砚（广东肇庆，古称端州），元代以后湖笔（浙江湖州）渐兴，宣笔渐衰，改革开放后，宣笔渐渐恢复了生机。
32,我一安徽人就知道宣纸安徽的，我假的安徽人吧！
33,完了，我不认识徽这个字了
34,回复 @午夜太黑暗 :那说明你可能不是皖南人，又或是传统文化方面的知识有欠缺[滑稽]
35,文房四宝啊……老祖宗留下来的东西不该忘的，希望以后不会有那么多手艺失传吧，柒姑娘超棒啊
36,子柒（来源微博）：
37,"笔墨纸砚,中国的文房四宝。随着书写时代的没落,"
38,"这些东西好像离我们越来越遥远!应该很多人和我一样,"
39,"经常忘记有些字该怎么写~不管是什么笔,"
40,我们是真的越老越少拿笔写字了!
41,"笔墨纸砚中又以湖笔徽墨宣纸端砚为翘楚我视频里毛笔的做法是按照湖笔来的,但没打湖笔二字，"
42,"是因为我做的笔还不够好,湖笔，“会做”和 “做的精”中间隔着很多年的学习和练习!"
43,"迄今为止,"
44,"我国出土最早的毛笔是战国时期的,和我们现在所使用的毛笔不同的是，早期笔的毛发是捆扎在竹/木棍外面的"
45,"而后来传说是秦朝名将蒙恬将军/蒙恬夫人，改进了毛笔的制作工艺,"
46,于是就有了毛笔现在的样子。
47,"其实在南宋之前,"
48,宣笔是当时公认的好笔。但当时由于战乱，
49,"很多宣笔笔工为了躲避战乱向内迁移,"
50,"来到湖州定居后结合湖州当时已有的做笔工艺,就成了现在所使用的“湖笔制作工艺”"
51,"湖笔的制作大大小小有120多道工序,水盆工序，择笔工序，刻字等:会水盆的不一定会择笔,会择笔不一-定会水盆,"
52,每一个工种都需要相当熟练的技术
53,笔工们相互配合才能完成一只优秀的笔
54,湖笔的种类也很多
55,"常见的就是羊毫兔毫狼毫等羊毫选用的是一岁多的公羊毛,"
56,一只羊身_上能用来做毛笔的毛很少，这就是传说中的“千万毫中选一毫”
57,我们这的公羊要顶人不敢剪就找了几只温顺的母羊下手
58,不管是那种动物发毛都会有油脂
59,所以做笔之前要用石灰水泡个一天左右。这个过程就叫脱脂
60,"脱完脂的羊毛晒干晒白就可以开始水盆工序了,"
61,"拿一把牛骨梳子梳杂毛做根齐毫收锋压豪尖衬圆笔柱盖笔头结头晒笔头装笔头择笔抹笔等等!湖笔还要刻字,"
62,"我自己做着自己用的就没刻!120多道大小步骤一个都不能少看似简单的一个动作都是技术活,也正是因为这样"
63,湖笔从古至今都为各大家们所钟爱
64,"随着电子产品的发展,"
65,"人都说墨分五色,焦重浓淡清"
66,黑漆漆的墨怎么能有五色呢?这就是古法手工墨的特点了!
67,"通常我们用墨汁写的字，几年就会褪色消失,"
68,"而古法墨却可以入木三分千年不褪。这就是为什么但凡是书画家,作画一定会选择古法手工老墨"
69,"墨是越老越好的,"
70,"- -般来说我们的古法墨又分为:松烟墨油烟墨漆烟墨松烟墨淡雅,油烟墨浓重,漆烟墨黑亮。"
71,我视频里拍的是油烟墨，这是一个相当漫长的过程。
72,"桐烟墨,"
73,一般是用桐油(一种植物油)加猪油按比例作为燃料烧烟
74,一天不停的烧也要好几天才能集够一斤烟灰。
75,"收集起来的烟灰要洗烟,很多人可能会想,"
76,"""这玩意儿能洗吗?不得变成黑乎乎吗我没做之前也是这样想的实际操作后才发现，"
77,"刚烧出来的烟灰并不溶于水搅拌完澄清一晚上,"
78,第二天所有的烟都漂在表面
79,铲起来后洗过烟的水居然还是清水! !
80,"洗好的烟阴干放一年以上才可以做墨,刚烧好的烟是有火气的,需要时间来退火!"
81,"中国的墨有1000多年的历史,好墨能入木三分,"
82,原因就是我们在做墨的过程中加入了药一般来说都会加麝香冰片珍珠粉金箔等讲究一点的还会加胆汁牛黄狗宝等中药每家墨厂都有自己独特不外传的秘方
83,所以这就是为什么我们买的墨条会有药香
84,"阴干的烟灰需要用胶来调和,一般都是牛皮胶或牛骨胶现在没那么多讲究了，食用骨胶什么的都行"
85,胶要用清水或者药水(就是上述中药熬水)来搅拌后.上锅蒸开
86,我放的药本身就是粉末所以直接倒墨灰里搅的
87,"胶和墨搅拌后就是捶打,"
88,有句话说“轻胶十万杵”就是这么来的只有通过反复捶打以及揉搓出来的墨才算是有了墨的灵魂。
89,入模，压制成型后修边打磨放个半年以上才能开始打蜡描金等工序
90,"我的模具是问安徽一位老师要来的,本来是没有那个“柒”想刻个行楷的柒,"
91,但是发现不会刻行楷反字!最后刻了一个老宋体.上去是的，我只会刻老宋体! !
92,描金后的墨最好放两年以上再用才能好因为新墨有胶
93,需要时间让胶慢慢吐掉
94,这就是为什么很多人收老墨的原因老墨好用!
95,"从油到墨,"
96,"都是中国古人智慧的结晶。且放到现在,"
97,墨都是很多书法大家无可替代的书写用品!遭了，墨不晓得杂结尾了。就这样88我接着写纸
98,话说:“四宝” 砚为首
99,"古代大家们对砚台的钟爱程度超乎想象,中国古砚的品类还蛮多的,"
100,端砚歙砚洮砚澄泥砚红丝砚等很多但我们平时听的较多的可能就是以上几种
101,"我视频里这块是端石,"
102,"特别润，打磨后摸起来手感特别好,石质量坚实幼嫩，温润如玉不是吹的!神奇到什么程度呢?"
103,"把手指放在端石上几秒钟拿开,石头上就会有一个水汽印子!一点没夸张，"
104,端砚除了发墨快，不损豪
105,"让它能备受喜爱的就是能“呵气研磨”再说白一点就是储水功能强大，甚至呵气都可以磨墨,"
106,呵一口气上去不会迅速干掉，这是因为端石里有水云母石，所以手按上去会有水迹，呵气上去能久久不干。
107,"当然我后来画那个丑画的墨还是加了水磨因为用量需要很大,"
108,"我呵到缺氧估计也是不够的,拍那个两个镜头,"
109,只是为了表现端砚这一神奇的特性。
110,"砚台的插画是一棵老树下蹲了个女娃,我这块原石边缘没打磨坑坑包包"
111,所以就将就哪些坑包设计成了树上的花叶最后自己还戳了很多点点上去
112,端石
113,"对，那个女娃原型就是我本来想的是要唯美一- 点，长头发齐刘海飘起来,但最后越刻越头大，"
114,"五官的边缘刚好要深凿,然后，，"
115,也不知道刻了个谁出来!
116,一气之下刻了个精灵耳朵上去，就彻底不知道这是谁了，，，假装是我吧就
117,还有，画国画，
118,真的是难为我这个粗人，
119,根本就不会，，，，拍的时候，
120,"现找了水墨画竹子教学视频现学现卖,但真的是太丑了，哦不，"
121,可能是那副画它有它自己的想法
122,不想跟别的优秀作品.--样吧哈哈哈哈哈哈
123,"最后想跟所有喜欢我视频的朋友说一声感谢,以前很多人问我"
124,每一次拍什么会去迎合大众的喜好吗?我都会回答说:
125,--.般当季有什么拍什么，
126,"有喜欢的也会尽可能去完成,"
127,我喜欢的，懂我的人也一定会喜欢
128,"现在想来,"
129,"确实是你们把我惯成现在这样的,所以，谢谢你们"
130,"谢谢你们让我一个又一个的完成心里那份清单,谢谢你们容忍我总是拍- -些冷门的东西，谢谢你们热爱科学的同时,"
131,还能记得和传播中国传统文化。
132,"很多传统手艺年轻一辈很少 人去学,在坚守的都是老人，"
133,他们的一生都奉献给了那门手艺。
134,"我记得以前复述过,"
135,"中国很多传统手艺像极了一位迟暮的老者,历经遥远的历史长河"
136,见证自己从兴起到鼎盛再到渐没。
137,"不断回望着希望在这个不那么需要他们的时代里找到自己存在的意义,今天，有了你们,这位“老人”"
138,回望时，身上带着光呢!
139,@共青团中央 团团[微笑]！求转发一下哦。文房四宝是我们中华文明历史文化传承的载体。通过笔墨纸砚记述着5000年的历史变迁、朝代更替；古今人物的喜怒哀乐、悲欢离合。希望团团转发下，让更多人了解我们文化的载体。帮忙顶一下
140,对，我也是，总感觉这集是讨论文房四宝的，就没点开来看过，其他都看了两三次了，然后刚刚有点好奇了，才点开来看了，现在有点后悔没早点看
141,我准备明天的课上给学生放这段视频让这些小兔崽子知道古代劳动人民的大智慧
142,作为一名书法专业生，对于这一手手艺也是真的想学了，但是一直都没有去找师傅学，没想到我的柒姑娘你可真的是全能啊。莫名感动，加油，一直支持
143,之前看了子柒那么多视频，我都很爱。唯有这一期视频，我是眼含热泪看完的，心里有说不出的感动，看着老祖宗的东西在子柒手里就如妙笔生花一样做出来，真的感慨传承啊！
144,此段仅仅代表我个人观后感
145,自传统而来，许多的变化与冲击都是近代的高速发展带来的革新，使得不少的传统技艺改变了“古韵”。
146,与现代文明接触后，享受了机械化的方便，但也丢失了“古韵”的莫大魅力。现代社会，对于传统艺术而言是两个世界，一个是新兴文化，有先进技术，科技，方便的工具等便利; 另一个便是繁琐，不断劳作，且机械的农耕文化。
147,机械的便利更让人觉得是一件工作，没有享受创造和“诞生”的成就感;与其说是区别不如说是个人追求的升华，创造，改进，新的作品仅有…美妙可以形容罢
148,两者而言其实是个递进的关系（个人理解），我认为并不是农耕递进至现代，而是相反。自己的专业做的久了，便愈加好奇古代的手法，制作，工艺。仿若莫大的瑰宝，却以无法接触，这很可惜……
149,这是个…很厉害（词穷抱歉）的视频，以艺术的灵魂感受，差距过大，便不献丑了;我会努力做好雕刻，去重新拾取那些技艺……
150,————谢谢（雕刻师）
151,觉得好，有同行的赞下就好，这次的观看带来的感觉很强烈，不同于以前，这种无法言语的技艺还都是表面，却能给人带来如此的震撼。
152,可笑的是，这还仅仅是冰山一角……
153,我终于知道为什么古代总是说读书人烧钱，那种没有机械纯手工，贵啊！难怪说供养出来一个读书人不容易。
154,虽然她做得东西不会有真正的匠人那么好（完全可以理解，因为她不是这个专业的）但是这份传播文化的心是很难得的。
155,我觉得子柒真的是一个很厉害很厉害的女孩子，她想做什么就去做，而且她还一定会把一件事情做好，还宣传中国的传统文化，这是把个人的小我融入国家血液历史之中，佩服。
156,这才是真正的国宝级女孩。倒也并非一捧一踩，比之现今那些舞乐技艺，琴棋书画能者，更佩服这李家姑娘。国画书法作为中国文化精粹平日里从未少见，倒是这笔墨纸砚从无到有的过程，却是头日见到。笔墨书画是值得弘扬的中国文化，制笔做砚一样值得称道啊。难得的很。
157,"笔墨纸砚,中国的文房四宝。随着书写时代的没落,这些东西好像离我们越来越遥远!应该很多人和我一样,经常忘记有些字该怎么写~不管是什么笔,我们是真的越老越少拿笔写字了! 笔墨纸砚中又以湖笔徽墨宣纸端砚为翘楚我视频里毛笔的做法是按照湖笔来的,但没打湖笔二字，是因为我做的笔还不够好,湖笔，“会做”和 “做的精”中间隔着很多年的学习和练习!迄今为止,我国出土最早的毛笔是战国时期的,和我们现在所使用的毛笔不同的是，早期笔的毛发是捆扎在竹/木棍外面的，而后来传说是秦朝名将蒙恬将军/蒙恬夫人，改进了毛笔的制作工艺,于是就有了毛笔现在的样子。其实在南宋之前,宣笔是当时公认的好笔。但当时由于战乱，很多宣笔笔工为了躲避战乱向内迁移,来到湖州定居后结合湖州当时已有的做笔工艺,就成了现在所使用的“湖笔制作工艺”湖笔的制作大大小小有120多道工序,水盆工序，择笔工序，刻字等:会水盆的不一定会择笔,会择笔不一定会水盆,每一个工种都需要相当熟练的技术，笔工们相互配合才能完成一只优秀的笔，湖笔的种类也很多，常见的就是羊毫兔毫狼毫等羊毫选用的是一岁多的公羊毛,一只羊身上能用来做毛笔的毛很少，这就是传说中的“千万毫中选一毫”我们这的公羊要顶人不敢剪就找了几只温顺的母羊下手，不管是那种动物发毛都会有油脂，所以做笔之前要用石灰水泡个一天左右。这个过程就叫脱脂 脱完脂的羊毛晒干晒白就可以开始水盆工序了,拿一把牛骨梳子梳杂毛做根齐毫收锋压豪尖衬圆笔柱盖笔头结头晒笔头装笔头择笔抹笔等等!湖笔还要刻字,我自己做着自己用的就没刻!120多道大小步骤一个都不能少看似简单的一个动作都是技术活,也正是因为这样湖笔从古至今都为各大家们所钟爱"
158,"随着电子产品的发展, 这些传统工艺的东西离我们越来越远,社会发展和科学进步是很好的事情,但这一切的社会发展也都源自于传统文化所以我们不一定每个人都要会这些, 但如果能记得，能了解这些传统文化当然更好。文化是民族之根本,是我们的根基！"
159,这些都是工匠活，谈不上艺术，但称得上艺术之基。
160,所以有人能出来传承、宣扬这些东西的话，这行为倒也不比艺术差了
161,@共青团中央 团团，这个中国传统文化的文房四宝工艺视频真的很棒
162,子柒做这个视频一定花了很多人力物力……端石现在比以前稀少多了
163,毛笔:好笔笔杆圆，散开笔头齐平，笔头要尖，
164,笔腰要有弹力，可用“圆，齐，尖，健”概括。
165,(狼毫 是黄鼠狼尾巴的毛，比兔毛次些)
166,砚台:石质好的砚台，摸起来光滑。分三种砚台，为端、歙、洮砚。不同的砚好坏判断方法不一。
167,墨:常用的墨分为油烟墨和松烟墨，油烟黑而有光泽，适合山水画;松烟墨无光，适合人物毛发类绘制。
168,磨墨: 加入清水，墨身与砚垂直，(可微微泡一会化开点然后开磨)。要往一个方向慢慢的磨，磨快了会粗糙，墨质不好。要力大手慢（墨汁滴在生宣上不透光才叫墨好了墨）
169,竹子:弯结不弯要，竹节先短后长再短，竹结生根
170,宣纸纸:可分熟宣，生宣，半生半熟
171,熟宣点水不晕，生宣晕
172,作为学**画的小萌新，看视频后感慨颇多，所以尽力科普一点点知识，希望大佬们纠错补充
173,我以为古代的砚是用石墨雕琢打磨出来的，写字的时候加点水，用石棒慢慢研磨，将砚台中间的石墨磨成墨水
174,现在文房四宝都有了，指南针，火药还会远吗
175,每次看博主的视频都很感激她的身上体现了中国以往人民的智慧和辛勤的劳动，很惭愧自己对这些几乎一无所知却还希望这些手艺可以代代相传。感谢
176,博主主以及相关小团队的良心制作，自觉占领油管发出中华传统文化来自民间的声音，必须素质三连哈
177,我勒个去，子柒要成中国传统文化大使（形象代言人）了吧
178,真心佩服子柒，在传承中国优秀传统文化上付出实际行动，影响力还这么广，真的很长脸
179,打心底的尊敬崇拜。做好这些我猜李子柒姐姐肯定学习练习很久，谢谢你为传统文化的付出。
180,我是学砚雕专业的。看完视频突然手痒，把我的工具给翻出来了。看看技能生疏了没有。
181,中国文房四宝之乡-安徽宣城欢迎您
182,这不叫古文化，叫中国传统文化，只是现在很少有人在做她展示的这样行当了，她的大火也反应出中国社会对传统文化的缺失。
183,我家以前也有古法造纸手艺，不过我最后见是在十岁左右，用的是水竹和水碓，到我这现在已经停留在理论上会了
184,有效宣传了中华传统文化，好评
185,看了真的好感动，如此浮躁的现在，还能遇到你这样的倩倩女子分外幸运，你做的事也如此令人敬佩
186,文房四宝播放量居然这么低
187,忍不住要评论一下 看完觉得还讨论个什么是不是文化输出哦  这不是文化输入出么 咱们自己人也很多都不知道老祖宗的四大宝 是手工这样出来的 当然肯定有更先进的工艺 但是那就是抬杠了  这视频起到正面的作用了没有？起到了那就三连啊 谁下次一定 打死他
188,子柒小姐姐真的一直在宣导传统文化呀
189,以前一直以为墨是砚台磨出来的，现在才知道是墨块磨出来的，长知识了
190,看电视剧都是看到再磨砚台
191,"端砚,中国四大名砚之一，与甘肃洮砚、安徽歙砚、山西澄泥砚齐名。出产于唐代初期端州（今广东肇庆市东郊的端溪），故名端砚，距今已有一千三百多年的历史。"
192,中国传统文化中的文房四宝，砚为其一。在中国所产的四大名砚中，尤以广东省端砚最为称著。端砚以石质坚实、润滑、细腻、娇嫩而驰名于世，用端砚研墨不滞，发墨快，研出之墨汁细滑，书写流畅不损毫，字迹颜色经久不变，端砚若佳，无论是酷暑还是严冬，用手按其砚心，砚心湛蓝墨绿，水气久久不干，故古人有“呵气研墨”之说。
193,端砚石出产在广东省肇庆市东部的烂柯山和肇庆市七星岩北面（西起小湘峡，东至鼎湖山）的北岭山一带，尤以老坑、麻子坑和坑仔岩三地之砚石为最佳。
194,端砚为“中国四大名砚”之首，致密坚实幼嫩、细腻，温润如玉的石质，独特而丰富多彩的石品花纹以及巧夺天工的雕刻艺术而闻名于世。并具有质柔而刚按之如小儿肌肤，摩之寂寂无声响，以及贮水不凅，呵气研墨、不损毫，发墨快等特点。--------肇庆人冒一下泡，摘自百度百科
195,在微博看完了，真心觉得厉害。这种不是一朝一夕一时一感，而能长久坚持下去的精神令人敬佩。不仅美好，做的事情也特别有意义。真的真的很棒！
196,大家可以去看看家业这本小说，非常详细的描写了徽墨的制作，非常好看
197,李子柒太低调了，不然标题党一下“2年做一个视频，带你走近笔墨纸砚做法”会多更多点击的。点进来前，根本想不到笔墨纸砚需要2年的工作，太佩服了。
198,笔墨纸砚这些现在都不贵，不难买到。所以小时候不明白这东西为什么叫文房四宝，还以为只是一种煽情的说法。
199,感谢李子柒的视频，让人直观看到，墨宝为什么能叫墨宝，得一年浸泡，半年晾干！小时候看那块东西，还以为是一种矿石直接裁剪成那个样子的。
200,古人读书人如果不是自制，那小地方的人就只能托人从省会大店买了也许。真不愧是宝。
201,博主主应该做的简易版的文房四宝，因为我以前在电视上看纸的做法可不是这么简单。但我依然觉得超级厉害，现在还有人愿意做这种真的感觉很感动，真的超级棒啊。尽管我们国家似乎低调到不重视文化的向外传播，但是我发现现在总有这样的人去做这样的事情，真是太棒了
202,妈耶，有些人自以为对子柒的一些科普评价[嫌弃]，没有人真的觉得文房四宝有这么容易做，只是看基本的流程，要想真正的了解才会查阅资料。子柒是为了宣扬文化，是业余的。这些我们都是知道的。拿专业跟业余比往往是差距大[无语]
203,没有过筛，颗粒有点大哦，那样做出来的墨很伤砚且墨色不佳，别反驳老子，老子家以前就是干这个的。
204,到这个视频出来，我已经不单单是惊叹子柒的动手能力了！我更为她对传播中华传统文化的执著和行动力而叹服！
205,墨条制作最快也要两个月，真的无法理解嫌慢的人是如何思考的
206,这些都是优秀的中国传统文化，希望不要失去传承了，日本只学到中国古代一点皮毛 但在保护文化方面值得我们学习
207,妈呀，想到文房四宝，想到中国传统的手艺，物质以及非物质文化，我就莫名其妙鼻酸。恨不得全世界各地都要看这样的视频，都要知道我们中国，它一点也不坏，它想带给世界的是千年来的沉静安稳和平，你们别这样针对它了
208,听说古代好的墨是可以入药的
209,是的，墨里面一般都会加药材的。而且还有药墨，就是入药的
210,这年头能会用毛笔写字练字的人少之又少，这些笔墨纸砚怕是没了需求了。
211,不会啊～越来越多的人喜欢传统文化，我身边就好多人喜欢毛笔字，会让家人，孩子练
212,喜欢的人很多，但动手的人就很少了
213,传统文化真的很有魅力 我也喜欢可是懒的一批
214,关注三年了，每一个视频都认真学，真的非常谢谢您把这样的手艺做出来，让大众们看到，我们丢失了太多东西。
215,李子柒之前哪个领奖上说了弘扬中华文化不是说说的，油管视频完全没翻译就征服了300多万粉丝（而且多数为外国人），称她为油管中华文化传播大使都不为过
216,造纸那段，我还有印象。
217,我想说  好墨是真的能吃，有的还能治病
218,以前在阅读里做过，加入一些中药是能吃的
219,子柒小姐姐现在的视频都纪录片一样，几分钟内历经四季，沉淀着岁月
220,柒爷是真的传统文化弘扬者啊！太棒了！
221,之前上中国传统文化时在书上无意中看到古代制作墨的方法，那时就感叹古人好厉害啊，然后今天后子柒制作更是感到子柒好厉害啊，也让我真实的到制墨的过程，厉害。
222,文房四宝，太不容易了，子柒好厉害了，好有耐心啊，佩服。
223,看着这个视频，我想起了爷爷。他当年给我讲过一得阁如何制墨，还有很多他一生的传奇。可我当时年轻气盛没心情听，现在想听，爷爷却已不在了。大家不要仅仅感叹子柒的才能，我们自家的老人也有很多故事，应该趁老人们还在，多陪他们聊聊天，多听听他们的故事，多留下些中国的历史记忆。
224,砚台都做了，妹子你再刻个章不就齐了吗
225,以后这四样东西只能存在一部分人的记忆里了，现在人能用水笔写几个字的机会都很少，键盘已经代替笔墨了。。。
226,那倒不至于，只要国画和书画没落寞文房四宝就不会丢，只是做这文房四宝的传统手法可能就。。。。
227,以前村子里有传统造纸厂，家家户户都分到一个小水池拿来泡纸绒用的，我爸妈那一代的小孩子几乎都会做纸然后拿去卖。后来造纸厂搬走了，村子里还留着一个个小水池。
228,怪不得古代文房四宝那么珍贵，确实制作不易啊[点赞]
229,现代文房四宝也很贵啊，一块好点的油烟墨上千块，一刀八几年的红星宣纸上万…
230,别的不知道，同学家就是专门做笔的，自家手艺也没开作坊就是个小铺子，我知道的都是几十年了，毛笔只买他家，反正就是很好用也很便宜。子柒真的好全能惹呜呜呜
231,宣城人感到无比骄傲
232,非常棒的视频，向大家展示了中国的优良传统文化，纸墨笔砚，制作非常艰难，从中也可一窥古人的智慧
233,哇 这视频跨度好久 ，笔墨纸砚 传统文化的载体 古老悠久的手艺 希望能长久流传下去
234,妹子真的也是给中国人科普了一次 这些是怎么做的了 很多国人也不知道这些的制作手续，姐姐给国人也科普了一次，谢谢姐姐带来的科普视屏，我觉得这些古文化的东西应该要得到宣传不然很多国人都忘记了自己的国粹。这些国粹不应该被遗忘，作为国人也要去主动了解它们。姐姐的宣传得到了很好的效果。、
235,科普啊这是！以前真不知道墨是怎么来的！感谢科普！感谢你的用心！
236,我是雕刻端砚的工艺师
237,感谢子柒～话说我一直以为墨是一种石头[捂脸]这次涨见识了
238,还是你厉害，我以前认为的墨是老家烧柴的墙壁和锅底的黑灰再加点胶勾兑成的（让我没想到的是时间跨度太大了！）
239,我家就在安徽宣城
240,虽然从小就听过笔墨纸砚这四字，但从来就没想过他们都是怎么来的，此刻只能用一个字来形容现在的惊奇，哇! 感谢子柒
241,科普，真正的狼毫是黄鼠狼的尾巴上的毛
242,从微博看完过来的。笔墨纸砚，学书法的时候一直想用砚台磨墨。狼毫笔 一得阁 宣纸 镇纸石 老师们的故事，串起了我所有的学生时代。
243,女神真的是越来越有气质了！这些东西别说亲手做，一般人学怕是都不愿意学，软笔字也根本不碰，说到这里豪爵很惭愧啊
244,肇庆人看到端砚开心～砚石越采越少，很多坑都封了不让采了……价格也越来越高，但是端砚越来越多人学也是开心呀～我们小学初中美术课也会讲端砚纹饰
245,笔！墨！纸！砚！四个字   好沉阿。
246,子柒太优秀了，有一种沉淀下来的美，如梦境般美好，看她的视频，真的很享受，内心很满足很宁静。
247,笔墨纸砚，琴棋诗画。做得一手好工，烧得一手好菜。正真中华美的代表。
248,我想说我不是白嫖的人，可是今天才发现没点赞，还发现没评论过，太惭愧了。都补上了，可能是看的入了神忘了。想看仙女弹古琴的样子。特别喜欢仙女的传统文化系列，还是看了你的文房四宝系列视频，才知道墨怎么做的，现在学书法三个多月了。
249,文房四宝其实就是从我们安徽宣城发源出去的
250,我记得我外婆也会造土纸，土黄色的
251,墨真的好美啊
252,传统手艺大多慢慢失传了，希望多点类似的视频，也算保留工艺做法了
253,越好的笔墨纸砚 工艺越复杂
254,太罕见了。您是人间宝藏。在这个浮躁的世界还能这么心平气和，过着隐居山林的生活。我真的很佩服您。真的应该值得更多人去学习，还有老祖宗流存下来的手艺，真的值得去弘扬。我……心中想表达的因为本人文采薄弱，说不出别的话了。
255,小时候我也用构树的皮做过绳子，这东西会分泌白浆，粘手上很难洗的，子柒居然把它一刀一刀刮干净了，真的厉害。只有几秒的镜头，但我们想不到的是她到底花了多少功夫，我是真的佩服
256,看手法也是很熟练，学这些真的废时间的。将我们的传统物质文化以现代的网络视频传播，点赞
257,我真的才知道墨是这么做的我惊呆了！！！！！
258,看完子柒的视频，最大的感触：每个东西都来之不易，不要轻易浪费。#笔墨纸砚#
259,我外公会做毛笔。还有二胡笛子什么都是他自己做的，超厉害
260,难怪古代有些画和字不会退色，就是墨好吧
261,我身边有大佬在做端砚，因为是有人定制的，爷爷好眼光，挑了个最厚的石料
262,第一次看到制磨，真的好厉害，谢谢子柒给我涨知识
263,作为一个宣城人 看到这期感触颇深 我们这里现在都是机械化工艺了 真正能手工制作传承这些手艺的太少了
264,这样告诉我们一些中国古代传统技法 我觉得这也是传承 很有意义
265,油烟墨，不是松烟墨
266,宣城郎溪人在这里。文房四宝之乡了解一下
267,毛笔，烟墨，宣纸，砚台
268,传统技艺一定要传承下去。
